### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'LEND/ETH', 'LEND/BTC'], 'Unbalance factor': 1.003283801445783, 'Volume': 3.5449299999999997e-06, 'Volumes': [2.4275935874959995e-07, 2.1553174399999998e-10, 0.8542], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-23-16'}
{'profit_coin': 'BTC', 'trair': ['CBC/BTC', 'CBC/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0047705696517915, 'Volume': 1.581714e-06, 'Volumes': [2.718966366e-11, 0.006321798561151079, 2.3131632992257984e-05], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-23-28'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'CS/USDT', 'CS/BTC'], 'Unbalance factor': 1.0052619254344393, 'Volume': 0.01, 'Volumes': [0.01, 0.0028819, 256.4760194921775], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-23-34'}
{'profit_coin': 'ETH', 'trair': ['CS/ETH', 'CS/USDT', 'ETH/USDT'], 'Unbalance factor': 1.0030524757731296, 'Volume': 5.7129999999999996e-08, 'Volumes': [9.968591868783806e-05, 1.6464294699999997e-08, 5.7129999999999996e-08], 'Sequence': 'straight', 'Time Stamp': '18-07-17-23-35'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GAT/ETH', 'GAT/BTC'], 'Unbalance factor': 1.0033963535494161, 'Volume': 6.1e-11, 'Volumes': [8.930227546589802e-10, 6.853932584269663e-06, 3.721e-17], 'Sequence': 'straight', 'Time Stamp': '18-07-17-23-36'}
{'profit_coin': 'BTC', 'trair': ['BPT/BTC', 'BPT/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0063315455578825, 'Volume': 2.0400000000000004e-09, 'Volumes': [4.161600000000001e-14, 6.871000336813743e-06, 2.987798358761353e-08], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-23-41'}
{'profit_coin': 'BTC', 'trair': ['DRGN/BTC', 'DRGN/KCS', 'KCS/BTC'], 'Unbalance factor': 1.015552995391705, 'Volume': 5.29e-05, 'Volumes': [2.7978809999999998e-09, 0.00044083333333333333, 0.121889400921659], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-23-42'}
{'profit_coin': 'BTC', 'trair': ['DRGN/BTC', 'DRGN/NEO', 'NEO/BTC'], 'Unbalance factor': 1.0064079995304007, 'Volume': 0.00725282805, 'Volumes': [3.836020755645e-07, 0.7501114955010859, 1.3344105125266088], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-23-43'}
{'profit_coin': 'ETH', 'trair': ['DRGN/ETH', 'DRGN/KCS', 'KCS/ETH'], 'Unbalance factor': 1.009543629522188, 'Volume': 0.000774, 'Volumes': [5.947416e-07, 0.00645, 0.12202812637951692], 'Sequence': 'inverse', 'Time Stamp': '18-07-17-23-43'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GAT/ETH', 'GAT/BTC'], 'Unbalance factor': 1.004618680033229, 'Volume': 6.1e-11, 'Volumes': [8.941106252295738e-10, 6.853932584269663e-06, 3.721e-17], 'Sequence': 'straight', 'Time Stamp': '18-07-17-23-43'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'PARETO/ETH', 'PARETO/BTC'], 'Unbalance factor': 1.0037692678372312, 'Volume': 2.39e-10, 'Volumes': [3.503154744751937e-09, 6.8481375358166186e-06, 5.7121e-16], 'Sequence': 'straight', 'Time Stamp': '18-07-17-23-45'}
