### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['CAN/BTC', 'CAN/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0040356643177446, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-08-22-32'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'LEND/ETH', 'LEND/BTC'], 'Unbalance factor': 1.006037843909995, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-08-23-43'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TFD/ETH', 'TFD/BTC'], 'Unbalance factor': 1.004595087869521, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-08-23-44'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'LEND/ETH', 'LEND/BTC'], 'Unbalance factor': 1.0045212974098205, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-08-23-50'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GO/ETH', 'GO/BTC'], 'Unbalance factor': 1.003429852917826, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-08-23-57'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'LEND/ETH', 'LEND/BTC'], 'Unbalance factor': 1.0038815826136882, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-08-23-58'}
{'profit_coin': 'BTC', 'trair': ['BOS/BTC', 'BOS/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0037507167741937, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-09-00-02'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'TKY/USDT', 'TKY/BTC'], 'Unbalance factor': 1.0062316852905246, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-00-02'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'LEND/ETH', 'LEND/BTC'], 'Unbalance factor': 1.004483750505153, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-09-00-06'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'NULS/ETH', 'NULS/BTC'], 'Unbalance factor': 1.0034476097099125, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-00-06'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'TKY/USDT', 'TKY/BTC'], 'Unbalance factor': 1.0055982139350077, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-00-10'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'NULS/ETH', 'NULS/BTC'], 'Unbalance factor': 1.003502585106383, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-00-14'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'TKY/USDT', 'TKY/BTC'], 'Unbalance factor': 1.0051901916047294, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-00-18'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'ZIL/ETH', 'ZIL/BTC'], 'Unbalance factor': 1.0049281920659858, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-00-23'}
{'profit_coin': 'BTC', 'trair': ['DRGN/BTC', 'DRGN/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0039928971760577, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-00-27'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'ONION/ETH', 'ONION/BTC'], 'Unbalance factor': 1.0058801657192409, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-00-29'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'POWR/ETH', 'POWR/BTC'], 'Unbalance factor': 1.0045476914801088, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-09-00-29'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'KCS/USDT', 'KCS/ETH'], 'Unbalance factor': 1.0030121600980975, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-09-00-31'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'OCN/USDT', 'OCN/ETH'], 'Unbalance factor': 1.007613470659396, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-00-31'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'ONION/ETH', 'ONION/BTC'], 'Unbalance factor': 1.0096075226877776, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-00-37'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'POWR/ETH', 'POWR/BTC'], 'Unbalance factor': 1.0034268427808928, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-09-00-37'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'NULS/ETH', 'NULS/BTC'], 'Unbalance factor': 1.0048099201009917, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-00-44'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'POWR/ETH', 'POWR/BTC'], 'Unbalance factor': 1.0046254463082633, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-09-00-45'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'VEN/ETH', 'VEN/BTC'], 'Unbalance factor': 1.0031598366914802, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-00-46'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'POWR/ETH', 'POWR/BTC'], 'Unbalance factor': 1.0037140367815593, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-09-00-53'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'VEN/ETH', 'VEN/BTC'], 'Unbalance factor': 1.003630513073099, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-00-54'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'OCN/USDT', 'OCN/BTC'], 'Unbalance factor': 1.0048546528573365, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-01-04'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'QSP/ETH', 'QSP/BTC'], 'Unbalance factor': 1.0051870513114753, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-01-09'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TIME/ETH', 'TIME/BTC'], 'Unbalance factor': 1.005474912699438, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-01-09'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'RHOC/ETH', 'RHOC/BTC'], 'Unbalance factor': 1.0078047931796417, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-09-01-16'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'ZPT/ETH', 'ZPT/BTC'], 'Unbalance factor': 1.0037444312393888, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-01-18'}
{'profit_coin': 'BTC', 'trair': ['KCS/BTC', 'NEO/KCS', 'NEO/BTC'], 'Unbalance factor': 1.0037484616686352, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-01-18'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'RHOC/ETH', 'RHOC/BTC'], 'Unbalance factor': 1.0083757862971716, 'Volume': 'NA', 'Sequence': 'straight', 'Time Stamp': '18-07-09-01-24'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'ZIL/ETH', 'ZIL/BTC'], 'Unbalance factor': 1.005198804796163, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-01-25'}
{'profit_coin': 'BTC', 'trair': ['GAS/BTC', 'GAS/NEO', 'NEO/BTC'], 'Unbalance factor': 1.0031549184267985, 'Volume': 'NA', 'Sequence': 'inverse', 'Time Stamp': '18-07-09-01-25'}
