### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['CBC/BTC', 'CBC/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0451321451033093, 'Volume': 0.000251728744, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-21-24'}
{'profit_coin': 'BTC', 'trair': ['CHP/BTC', 'CHP/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0057693593181818, 'Volume': 6.167040000000001e-07, 'Sequence': 'straight', 'Time Stamp': '18-07-09-21-24'}
{'profit_coin': 'BTC', 'trair': ['COFI/BTC', 'COFI/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0051907547169812, 'Volume': 3.67e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-09-21-24'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'RHOC/ETH', 'RHOC/BTC'], 'Unbalance factor': 1.0062169492003763, 'Volume': 0.0035602686823, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-21-28'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TFL/ETH', 'TFL/BTC'], 'Unbalance factor': 1.00495411312686, 'Volume': 7.104526000000001e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-21-28'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TNC/ETH', 'TNC/BTC'], 'Unbalance factor': 1.003850166738661, 'Volume': 7.106767999999999e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-21-28'}
{'profit_coin': 'BTC', 'trair': ['CHP/BTC', 'CHP/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0062756884090909, 'Volume': 6.167040000000001e-07, 'Sequence': 'straight', 'Time Stamp': '18-07-09-21-31'}
{'profit_coin': 'BTC', 'trair': ['COFI/BTC', 'COFI/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0056966509433962, 'Volume': 3.67e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-09-21-31'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TFL/ETH', 'TFL/BTC'], 'Unbalance factor': 1.003130796453354, 'Volume': 7.109621000000001e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-09-21-35'}
{'profit_coin': 'BTC', 'trair': ['COFI/BTC', 'COFI/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0060791509433962, 'Volume': 3.67e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-09-21-38'}
{'profit_coin': 'BTC', 'trair': ['DGB/BTC', 'DGB/ETH', 'ETH/BTC'], 'Unbalance factor': 1.007254103283582, 'Volume': 6.66e-10, 'Sequence': 'straight', 'Time Stamp': '18-07-09-21-39'}
