### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'EOS/USDT', 'EOS/BTC'], 'Unbalance factor': 1.0052219774147986, 'Volume': 0.06638799, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-13-33'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'OCN/USDT', 'OCN/BTC'], 'Unbalance factor': 1.004260877960035, 'Volume': 0.88137364, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-14-05'}
{'profit_coin': 'BTC', 'trair': ['DRGN/BTC', 'DRGN/KCS', 'KCS/BTC'], 'Unbalance factor': 1.026959758083275, 'Volume': 4.299e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-10-14-07'}
{'profit_coin': 'BTC', 'trair': ['DRGN/BTC', 'DRGN/NEO', 'NEO/BTC'], 'Unbalance factor': 1.0065753558967203, 'Volume': 4.299e-09, 'Sequence': 'straight', 'Time Stamp': '18-07-10-14-07'}
{'profit_coin': 'BTC', 'trair': ['ETC/BTC', 'ETC/KCS', 'KCS/BTC'], 'Unbalance factor': 1.0042709940009018, 'Volume': 0.00012124626632999999, 'Sequence': 'straight', 'Time Stamp': '18-07-10-14-08'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'EXY/ETH', 'EXY/BTC'], 'Unbalance factor': 1.0063293755558307, 'Volume': 1.546809088e-05, 'Sequence': 'straight', 'Time Stamp': '18-07-10-14-08'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'LALA/ETH', 'LALA/BTC'], 'Unbalance factor': 1.0034671320588233, 'Volume': 3.6108e-07, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-14-09'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'OPEN/ETH', 'OPEN/BTC'], 'Unbalance factor': 1.0208275543031078, 'Volume': 3.2204088e-05, 'Sequence': 'straight', 'Time Stamp': '18-07-10-14-09'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'POLL/ETH', 'POLL/BTC'], 'Unbalance factor': 1.0064809308715243, 'Volume': 0.00181244365, 'Sequence': 'inverse', 'Time Stamp': '18-07-10-14-10'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'QSP/ETH', 'QSP/BTC'], 'Unbalance factor': 1.0066561199237292, 'Volume': 5.2284225e-07, 'Sequence': 'straight', 'Time Stamp': '18-07-10-14-10'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'EXY/ETH', 'EXY/BTC'], 'Unbalance factor': 1.0071546435582002, 'Volume': 8.27877886e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-10-14-16'}
