### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'HAV/ETH', 'HAV/BTC'], 'Unbalance factor': 1.0075152547602817, 'Volume': 4.30291117215e-05, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-17-59'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'RHOC/ETH', 'RHOC/BTC'], 'Unbalance factor': 1.0077942724046662, 'Volume': 9.384919999999999e-09, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-18-01'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TOMO/ETH', 'TOMO/BTC'], 'Unbalance factor': 1.007455630203944, 'Volume': 0.001378815036, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-18-02'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'OCN/USDT', 'OCN/ETH'], 'Unbalance factor': 1.0055182802447826, 'Volume': 0.4884871680000001, 'Sequence': 'straight', 'Time Stamp': '18-07-15-18-03'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GVT/ETH', 'GVT/BTC'], 'Unbalance factor': 1.003971638699187, 'Volume': 7.0748e-08, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-18-08'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'GVT/ETH', 'GVT/BTC'], 'Unbalance factor': 1.0033964850479673, 'Volume': 7.070747e-08, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-18-16'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'QKC/ETH', 'QKC/BTC'], 'Unbalance factor': 1.0045135925233644, 'Volume': 0.003409771354, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-18-18'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TIME/ETH', 'TIME/BTC'], 'Unbalance factor': 1.0033373371089778, 'Volume': 3.36961626e-05, 'Sequence': 'straight', 'Time Stamp': '18-07-15-18-19'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'LALA/ETH', 'LALA/BTC'], 'Unbalance factor': 1.0068831933546605, 'Volume': 0.0009331801919999999, 'Sequence': 'straight', 'Time Stamp': '18-07-15-18-25'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'HAV/USDT', 'HAV/BTC'], 'Unbalance factor': 1.0051820151994049, 'Volume': 0.00015659, 'Sequence': 'inverse', 'Time Stamp': '18-07-15-18-30'}
