### Possibly profitable unbalances ###
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'HAV/USDT', 'HAV/BTC'], 'Unbalance factor': 1.0081528427920001, 'Volume': 0.0004308438857408, 'Sequence': 'inverse', 'Time Stamp': '18-07-11-08-55'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'RPX/ETH', 'RPX/BTC'], 'Unbalance factor': 1.0102364071153846, 'Volume': 6.813527e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-11-09-21'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TKY/ETH', 'TKY/BTC'], 'Unbalance factor': 1.0070214, 'Volume': 1.44e-10, 'Sequence': 'inverse', 'Time Stamp': '18-07-11-09-22'}
{'profit_coin': 'BTC', 'trair': ['ETH/BTC', 'TNC/ETH', 'TNC/BTC'], 'Unbalance factor': 1.0053720197674418, 'Volume': 6.8080310000000005e-06, 'Sequence': 'inverse', 'Time Stamp': '18-07-11-09-22'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'KCS/USDT', 'KCS/ETH'], 'Unbalance factor': 1.003335026324142, 'Volume': 0.0003983, 'Sequence': 'straight', 'Time Stamp': '18-07-11-09-23'}
{'profit_coin': 'BTC', 'trair': ['AXP/BTC', 'AXP/ETH', 'ETH/BTC'], 'Unbalance factor': 1.003347515878504, 'Volume': 3.08e-10, 'Sequence': 'inverse', 'Time Stamp': '18-07-11-09-25'}
{'profit_coin': 'BTC', 'trair': ['BTC/USDT', 'KCS/USDT', 'KCS/BTC'], 'Unbalance factor': 1.0033774484060731, 'Volume': 4.516e-05, 'Sequence': 'straight', 'Time Stamp': '18-07-11-09-25'}
{'profit_coin': 'BTC', 'trair': ['CBC/BTC', 'CBC/ETH', 'ETH/BTC'], 'Unbalance factor': 1.004429311273391, 'Volume': 4.68072e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-11-09-26'}
{'profit_coin': 'BTC', 'trair': ['DAG/BTC', 'DAG/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0869351363057325, 'Volume': 9.025616000000001e-06, 'Sequence': 'straight', 'Time Stamp': '18-07-11-09-26'}
{'profit_coin': 'BTC', 'trair': ['DAT/BTC', 'DAT/ETH', 'ETH/BTC'], 'Unbalance factor': 1.0037633734513274, 'Volume': 0.018130884352, 'Sequence': 'straight', 'Time Stamp': '18-07-11-09-26'}
{'profit_coin': 'ETH', 'trair': ['ETH/USDT', 'HAV/USDT', 'HAV/ETH'], 'Unbalance factor': 1.0128937142373435, 'Volume': 0.00047087999999999996, 'Sequence': 'straight', 'Time Stamp': '18-07-11-09-31'}
